,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,315,TPKHL,548.9,9.9,1.84,530,548.9,520,"39,253.00",539,,315,TPKHL,-,530,548.9,520,548.9,548.9,0,0,535.99,"39,253.00",539,"21,039,172.90",990,9.9,28.9,1.84,5.56,2.35,0,0,772.5,300,
,,316,TRH,782,-3.9,-0.5,770.1,788,769.3,"1,222.00",785.9,,316,TRH,-,770.1,788,769.3,782,782,0,0,780.25,"1,222.00",785.9,"953,463.20",13,-3.9,18.7,-0.5,2.43,0.22,764.68,748.48,"1,030.80",681.1,
,,317,TSHL,374,2,0.54,381,381,368,"3,561.00",372,,317,TSHL,-,381,381,368,374,374,0,0,371.94,"3,561.00",372,"1,324,483.70",63,2,13,0.54,3.53,0.55,607.24,647.19,989,308.1,
,,318,TTL,730,9.6,1.33,702,731,702,"6,475.00",720.4,,318,TTL,-,702,731,702,730,730,0,0,725.96,"6,475.00",720.4,"4,700,621.90",153,9.6,29,1.33,4.13,0.55,832.76,820.58,"1,262.80",670,
,,319,TVCL,489,12.8,2.69,476,489,476,"2,210.00",476.2,,319,TVCL,-,476,489,476,489,489,0,0,483.71,"2,210.00",476.2,"1,069,002.60",27,12.8,13,2.69,2.73,1.08,546.82,503.24,689,377.6,
,,320,UAIL,445.3,-2.7,-0.6,440.1,451,440.1,"8,209.00",448,,320,UAIL,-,440.1,451,440.1,445.3,445.3,0,0,446.87,"8,209.00",448,"3,668,340.40",66,-2.7,10.9,-0.6,2.48,-0.35,459.81,459.09,591,421,
,,321,UHEWA,572.1,1.1,0.19,564,579.8,564,"13,705.00",571,,321,UHEWA,-,564,579.8,564,572.1,572.1,0,0,572.88,"13,705.00",571,"7,851,290.50",70,1.1,15.8,0.19,2.8,-0.14,586.86,585.4,692.6,521,
,,322,ULBSL,"2,775.00",-10,-0.36,"2,720.00","2,787.00","2,720.00",433,"2,785.00",,322,ULBSL,-,"2,720.00","2,787.00","2,720.00","2,775.00","2,775.00",0,0,"2,741.03",433,"2,785.00","1,186,866.00",21,-10,67,-0.36,2.46,1.22,"3,042.67","3,245.44","4,325.00","2,700.00",
,,323,ULHC,362,21.9,6.44,339,365,337,"24,501.00",340.1,,323,ULHC,-,339,365,337,362,362,0,0,350.53,"24,501.00",340.1,"8,588,236.00",169,21.9,28,6.44,8.31,3.17,479.56,472.38,599,337,
,,324,UMHL,581,-5.7,-0.97,573,584.2,570,"95,992.00",586.7,,324,UMHL,-,573,584.2,570,581,581,0,0,578.92,"95,992.00",586.7,"55,571,232.20",111,-5.7,14.2,-0.97,2.49,0.36,599.85,588.46,706,495,
,,325,UMRH,537.2,-2.3,-0.43,531,544,531,"4,468.00",539.5,,325,UMRH,-,531,544,531,537.2,537.2,0,0,538.64,"4,468.00",539.5,"2,406,650.30",40,-2.3,13,-0.43,2.45,-0.27,544.73,549.85,666.5,512,
,,326,UNHPL,382.1,-0.8,-0.21,380.2,385,380,"10,081.00",382.9,,326,UNHPL,-,380.2,385,380,382.1,382.1,0,0,381.22,"10,081.00",382.9,"3,843,082.30",53,-0.8,5,-0.21,1.32,0.23,460.03,471.46,571,370,
,,327,UNL,"48,590.00",390,0.81,"48,590.00","48,590.00","48,590.00",10,"48,200.00",,327,UNL,-,"48,590.00","48,590.00","48,590.00","48,590.00","48,590.00",0,0,"48,590.00",10,"48,200.00","485,900.00",1,390,0,0.81,0,0,"46,907.42","47,109.58","49,738.90","45,200.00",
,,328,UNLB,"1,259.00",-6,-0.47,"1,236.00","1,271.90","1,235.00",246,"1,265.00",,328,UNLB,-,"1,236.00","1,271.90","1,235.00","1,259.00","1,259.00",0,0,"1,244.13",246,"1,265.00","306,057.00",15,-6,36.9,-0.47,2.99,1.18,"1,542.25","1,676.96","2,480.00","1,213.00",
,,329,UPCL,362,15,4.32,349,362,344,"68,843.00",347,,329,UPCL,-,349,362,344,362,362,0,0,353.66,"68,843.00",347,"24,347,310.90",159,15,18,4.32,5.23,2.3,374.26,372.67,431.9,326.9,
,,330,UPPER,195.5,1.5,0.77,194,196,193,"73,985.00",194,,330,UPPER,-,194,196,193,195.5,195.5,0,0,194.36,"73,985.00",194,"14,379,602.70",316,1.5,3,0.77,1.55,0.58,202.58,194.22,242.6,166,
,,331,USHEC,492,0,0,490,497,490,"4,347.00",492,,331,USHEC,-,490,497,490,492,492,0,0,492.76,"4,347.00",492,"2,142,045.40",31,0,7,0,1.43,-0.16,494.33,486.28,539.1,432,
,,332,USHL,544.3,1.3,0.24,570.1,570.1,526.3,"1,246.00",543,,332,USHL,-,570.1,570.1,526.3,544.3,544.3,0,0,539.56,"1,246.00",543,"672,294.10",43,1.3,43.8,0.24,8.32,0.87,646.01,690.8,945,468.1,
,,333,USLB,"1,135.00",-17.3,-1.5,"1,150.00","1,156.00","1,135.00","2,288.00","1,152.30",,333,USLB,-,"1,150.00","1,156.00","1,135.00","1,135.00","1,135.00",0,0,"1,147.39","2,288.00","1,152.30","2,625,228.90",34,-17.3,21,-1.5,1.85,-1.09,"1,326.68","1,439.96","2,750.00","1,105.80",
,,334,VLBS,670,-1,-0.15,667,680,667,961,671,,334,VLBS,-,667,680,667,670,670,0,0,672.33,961,671,"646,110.40",57,-1,13,-0.15,1.95,-0.35,729.41,745.23,950,640,
,,335,VLUCL,429,-9,-2.05,428.1,430,417,"9,513.00",438,,335,VLUCL,-,428.1,430,417,429,429,0,0,422.09,"9,513.00",438,"4,015,380.00",103,-9,13,-2.05,3.12,1.61,510.79,530.74,652,412,
,,336,WNLB,"1,345.00",-3,-0.22,"1,315.20","1,345.00","1,315.20",122,"1,348.00",,336,WNLB,-,"1,315.20","1,345.00","1,315.20","1,345.00","1,345.00",0,0,"1,325.82",122,"1,348.00","161,750.10",7,-3,29.8,-0.22,2.27,1.43,"1,465.40","1,594.13","2,561.00","1,242.10",
,,337,YMHL,644,-1,-0.16,630.2,654.7,622.3,"28,063.00",645,,337,YMHL,-,630.2,654.7,622.3,644,644,0,0,640.37,"28,063.00",645,"17,970,606.20",763,-1,32.4,-0.16,5.21,0.56,0,0,797.6,300,
